Store,Date,Cigarette Name,Cigarette UPC,Sell Unit Quantity,Item Number,Cost,Sales,Quantity Sold
3,4/23/20,NEWPORT NON MEN KS BX,2610000656,1,50867,4.92,6.06,1
3,4/23/20,NEWPORT NON MEN KS BX,2610000656,1,50867,9.85,11.72,2
3,5/2/20,NEWPORT NON MEN KS BX,2610000656,1,50867,4.92,6.06,1
3,2/5/20,NEWPORT PLTNM BL BX 100,2610001622,1,50860,6.11,5.93,1
3,2/7/20,NEWPORT PLTNM BL BX 100,2610001622,1,50860,6.11,5.93,1
3,2/16/20,NEWPORT PLTNM BL BX 100,2610001622,1,50860,6.11,5.93,1
3,2/21/20,NEWPORT PLTNM BL BX 100,2610001622,1,50860,6.22,6.05,1
3,2/24/20,NEWPORT PLTNM BL BX 100,2610001622,1,50860,6.22,6.05,1
3,2/27/20,NEWPORT PLTNM BL BX 100,2610001622,1,50860,6.22,6.05,1
3,2/28/20,NEWPORT PLTNM BL BX 100,2610001622,1,50860,6.22,6.05,1
3,2/29/20,NEWPORT PLTNM BL BX 100,2610001622,1,50860,6.22,6.05,1
3,3/1/20,NEWPORT PLTNM BL BX 100,2610001622,1,50860,6.22,6.05,1
3,3/5/20,NEWPORT PLTNM BL BX 100,2610001622,1,50860,12.44,12.1,2
3,3/6/20,NEWPORT PLTNM BL BX 100,2610001622,1,50860,6.22,6.05,1
3,3/10/20,NEWPORT PLTNM BL BX 100,2610001622,1,50860,6.22,6.05,1
3,3/11/20,NEWPORT PLTNM BL BX 100,2610001622,1,50860,6.22,6.05,1
3,3/14/20,NEWPORT PLTNM BL BX 100,2610001622,1,50860,12.44,12.1,2
3,3/21/20,NEWPORT PLTNM BL BX 100,2610001622,1,50860,6.22,6.05,1
3,3/24/20,NEWPORT PLTNM BL BX 100,2610001622,1,50860,6.22,6.05,1
3,4/6/20,NEWPORT PLTNM BL BX 100,2610001622,1,50860,6.22,6.05,1
3,4/10/20,NEWPORT PLTNM BL BX 100,2610001622,1,50860,6.22,6.05,1
3,4/12/20,NEWPORT PLTNM BL BX 100,2610001622,1,50860,6.22,6.05,1
3,4/14/20,NEWPORT PLTNM BL BX 100,2610001622,1,50860,6.22,6.2,1
3,4/20/20,NEWPORT PLTNM BL BX 100,2610001622,1,50860,6.22,6.01,1
3,4/25/20,NEWPORT PLTNM BL BX 100,2610001622,1,50860,6.22,6.2,1
3,5/2/20,NEWPORT PLTNM BL BX 100,2610001622,1,50860,6.22,6.2,1
3,2/5/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,6.11,5.93,1
3,2/6/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,6.11,5.93,1
3,2/9/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,6.11,5.93,1
3,2/16/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,6.11,5.93,1
3,2/18/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,6.22,6.05,1
3,2/26/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,6.22,6.05,1
3,2/27/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,12.44,12.1,2
3,2/28/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,6.22,6.05,1
3,3/1/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,12.44,12.1,2
3,3/5/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,12.44,12.1,2
3,3/11/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,6.22,6.05,1
3,3/12/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,6.22,6.05,1
3,3/17/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,6.22,6.05,1
3,3/18/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,6.22,6.05,1
3,3/24/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,18.65,18.15,3
3,3/26/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,18.65,18.15,3
3,3/27/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,6.22,6.05,1
3,3/29/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,6.22,6.05,1
3,3/30/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,12.44,12.1,2
3,4/1/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,24.87,24.2,4
3,4/3/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,12.44,12.1,2
3,4/5/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,6.22,6.05,1
3,4/6/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,12.44,12.1,2
3,4/9/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,12.44,12.1,2
3,4/11/20,NEWPORT PLTNM BL BX KS,2610001628,1,50873,6.22,6.05,1
